Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount,Location,Size,Color,Season,Review Rating,Subscription,Shipping Type,Discount Applied,Promo Code,Previous Purchases,Payment Method,Frequency of Purchase
32,57,Female,Socks,Accessories,129,New Jersey,XL,Red,Summer,4.3,No,Two Day Shipping,No,Yes,35,PayPal,Weekly
33,35,Female,Handbag,Accessories,96,Mississippi,S,Charcoal,Spring,2.7,Yes,Store Pickup,Yes,Yes,53,PayPal,Monthly
34,21,Male,Socks,Outerwear,122,Louisiana,XXL,Indigo,Winter,4.6,No,Standard,Yes,No,38,PayPal,Quarterly
35,32,Female,Boots,Footwear,126,Nevada,S,Black,Summer,4,No,Store Pickup,Yes,No,16,Bank Transfer,Annually
36,55,Male,Skirt,Clothing,36,Maine,XL,Charcoal,Fall,2.5,No,Standard,No,Yes,58,Credit Card,Monthly
37,66,Female,Socks,Outerwear,79,Illinois,XL,Gray,Winter,5,No,Free Shipping,Yes,Yes,96,Venmo,Fortnightly
38,57,Male,Sandals,Footwear,76,North Carolina,XL,Cream,Winter,3.7,Yes,Standard,No,No,21,Bank Transfer,Annually
39,70,Male,Cardigan,Clothing,94,Ohio,XXL,Gray,Summer,3.7,No,Standard,Yes,Yes,75,Debit Card,Bi-Weekly
40,62,Female,Sandals,Footwear,45,Nebraska,S,Teal,Fall,4,Yes,Two Day Shipping,No,Yes,53,PayPal,Weekly
41,58,Female,Socks,Outerwear,54,Oklahoma,M,Green,Summer,3.8,No,Standard,No,No,41,Cash,Weekly
42,33,Female,Socks,Accessories,112,Minnesota,S,Blue,Summer,2.5,Yes,Next Day Air,No,No,35,Bank Transfer,Bi-Weekly
43,51,Male,Handbag,Accessories,36,Tennessee,XL,Blue,Spring,4.1,No,Standard,Yes,Yes,37,Cash,Quarterly
44,60,Female,Shoes,Footwear,136,New Mexico,XXL,Teal,Fall,5,No,Next Day Air,No,No,39,Credit Card,Fortnightly
45,30,Female,T-Shirt,Clothing,45,Alaska,XXL,Indigo,Spring,2.6,No,Next Day Air,No,Yes,24,Credit Card,Fortnightly
46,37,Male,Handbag,Accessories,47,Maryland,S,Maroon,Summer,4.1,Yes,Store Pickup,No,Yes,1,Bank Transfer,Monthly
47,46,Female,Socks,Outerwear,62,New York,L,Blue,Winter,4.5,No,Standard,Yes,Yes,19,Cash,Annually
48,33,Male,Handbag,Accessories,121,Idaho,XXL,Brown,Spring,4.3,No,Standard,No,No,75,PayPal,Monthly
49,65,Male,Tank Top,Clothing,68,New Hampshire,M,Olive,Winter,2.5,Yes,Two Day Shipping,Yes,Yes,0,PayPal,Quarterly
50,20,Male,Socks,Outerwear,88,South Dakota,L,Indigo,Fall,2.2,Yes,Next Day Air,Yes,No,14,Bank Transfer,Fortnightly
51,70,Male,Shoes,Footwear,33,New York,M,Gold,Summer,3.3,No,Store Pickup,No,No,34,Bank Transfer,Annually
52,23,Male,Socks,Outerwear,125,Alaska,L,Brown,Summer,2.1,Yes,Store Pickup,Yes,No,73,Venmo,Fortnightly
53,35,Male,Socks,Outerwear,126,New Hampshire,XL,Turquoise,Fall,3,No,Next Day Air,Yes,Yes,42,PayPal,Bi-Weekly
54,60,Female,Socks,Outerwear,24,Utah,S,Violet,Summer,3,No,Two Day Shipping,Yes,No,52,Venmo,Fortnightly
55,58,Female,Socks,Accessories,28,Arizona,L,Yellow,Spring,4.8,No,Store Pickup,No,Yes,3,Debit Card,Annually
56,37,Male,Sneakers,Footwear,119,Illinois,M,White,Fall,4.8,Yes,Standard,No,No,53,PayPal,Quarterly
57,53,Male,Boots,Footwear,113,Washington,XXL,Green,Spring,4.6,No,Standard,No,No,0,Credit Card,Bi-Weekly
58,73,Male,Socks,Accessories,129,Mississippi,XL,Teal,Summer,3.7,No,Standard,No,Yes,89,Cash,Annually
59,72,Female,Handbag,Outerwear,26,Colorado,XL,Indigo,Fall,3.2,Yes,Standard,Yes,Yes,64,Bank Transfer,Monthly
60,24,Female,Jacket,Clothing,18,North Dakota,M,Navy,Spring,2.2,No,Next Day Air,No,Yes,42,Debit Card,Annually
61,58,Female,Socks,Outerwear,24,Hawaii,S,Purple,Summer,5,Yes,Standard,Yes,Yes,56,Cash,Bi-Weekly
62,20,Female,Handbag,Accessories,29,Missouri,L,Teal,Fall,2.4,No,Two Day Shipping,Yes,Yes,22,Venmo,Annually
63,49,Male,Handbag,Outerwear,74,Utah,L,Red,Summer,4,No,Next Day Air,Yes,Yes,56,Credit Card,Annually
64,62,Female,Socks,Accessories,131,Wisconsin,M,Black,Fall,2.3,No,Two Day Shipping,No,No,89,Credit Card,Weekly
65,18,Male,Socks,Outerwear,142,Missouri,M,Brown,Summer,2.7,Yes,Two Day Shipping,No,Yes,80,Venmo,Bi-Weekly
66,68,Female,Shorts,Clothing,23,West Virginia,L,Charcoal,Winter,4.7,No,Store Pickup,No,Yes,25,Cash,Annually
67,71,Male,Socks,Accessories,80,Iowa,L,Violet,Winter,3.4,Yes,Free Shipping,Yes,No,71,Credit Card,Weekly
68,34,Male,Handbag,Outerwear,131,Alabama,L,Orange,Fall,4.5,No,Express,Yes,No,3,Bank Transfer,Annually
69,59,Male,Handbag,Accessories,133,Delaware,L,Beige,Fall,2.4,Yes,Express,No,No,14,Venmo,Fortnightly
70,47,Female,Boots,Footwear,122,West Virginia,M,Navy,Winter,4.5,No,Next Day Air,Yes,No,27,PayPal,Quarterly
71,24,Female,Shoes,Footwear,106,New York,XL,Olive,Spring,4.9,No,Express,Yes,Yes,6,Credit Card,Fortnightly
72,22,Male,Sneakers,Footwear,70,Massachusetts,L,Charcoal,Winter,2.8,Yes,Free Shipping,No,Yes,14,Debit Card,Weekly
73,40,Male,Sandals,Footwear,97,Texas,M,Olive,Winter,2.4,No,Two Day Shipping,Yes,Yes,60,PayPal,Monthly
74,50,Male,Jacket,Clothing,26,North Dakota,XXL,Gold,Fall,3.9,Yes,Express,No,No,54,Debit Card,Weekly
75,22,Male,Socks,Outerwear,97,Idaho,M,Turquoise,Spring,2.8,No,Standard,No,No,64,Bank Transfer,Quarterly
76,62,Male,Cardigan,Clothing,70,Oklahoma,XL,Purple,Fall,3,No,Standard,No,Yes,40,PayPal,Monthly
77,27,Female,Socks,Accessories,32,Illinois,S,Turquoise,Fall,2.3,No,Free Shipping,Yes,No,85,Venmo,Quarterly
78,73,Male,Socks,Accessories,88,Idaho,L,Teal,Winter,3.7,Yes,Free Shipping,No,Yes,13,Credit Card,Annually
79,66,Female,Handbag,Accessories,72,Oklahoma,XXL,Brown,Winter,3.8,No,Express,Yes,No,89,Credit Card,Monthly
80,29,Male,Handbag,Accessories,117,Pennsylvania,M,Beige,Winter,2.3,Yes,Standard,No,No,43,Cash,Monthly
81,67,Male,Socks,Accessories,28,Michigan,M,Brown,Winter,4,No,Standard,No,No,77,PayPal,Quarterly
82,66,Male,Handbag,Accessories,103,Oklahoma,S,Gold,Fall,3.6,No,Express,Yes,No,76,Venmo,Weekly
83,31,Male,Shoes,Footwear,80,Missouri,L,White,Winter,3.5,No,Free Shipping,Yes,No,68,Debit Card,Fortnightly
84,43,Male,Handbag,Accessories,126,Texas,XL,Turquoise,Summer,3.7,No,Store Pickup,No,No,14,PayPal,Weekly
85,69,Female,Handbag,Accessories,107,Illinois,XL,White,Spring,3.3,No,Two Day Shipping,Yes,No,39,Debit Card,Monthly
86,67,Male,Shoes,Footwear,34,Arkansas,S,Green,Spring,4.7,No,Next Day Air,Yes,Yes,13,Cash,Monthly
87,56,Male,Sneakers,Footwear,34,Virginia,XL,Red,Fall,4,No,Store Pickup,No,Yes,56,Venmo,Quarterly
88,68,Female,Socks,Outerwear,29,South Carolina,XXL,Turquoise,Summer,3.4,Yes,Express,No,No,9,Debit Card,Weekly
89,55,Male,Socks,Outerwear,130,Nebraska,M,Violet,Fall,3.5,Yes,Standard,Yes,No,91,Venmo,Annually
90,33,Female,Sandals,Footwear,127,Kansas,XXL,Brown,Spring,3.1,No,Standard,No,No,86,Bank Transfer,Weekly
91,39,Male,Handbag,Accessories,113,Missouri,L,Cream,Spring,3,Yes,Next Day Air,No,No,16,Bank Transfer,Bi-Weekly
92,53,Female,Shorts,Clothing,99,North Carolina,XXL,Turquoise,Fall,3.5,Yes,Next Day Air,No,Yes,27,Credit Card,Quarterly
93,26,Male,Sneakers,Footwear,34,Missouri,S,Green,Winter,4,Yes,Two Day Shipping,No,Yes,20,Cash,Bi-Weekly
94,20,Female,Boots,Footwear,108,Montana,M,Red,Summer,4.3,No,Free Shipping,Yes,No,100,PayPal,Fortnightly
95,47,Female,Socks,Accessories,112,Arkansas,XXL,Navy,Spring,4.5,Yes,Next Day Air,Yes,No,47,Bank Transfer,Weekly
96,23,Male,Shorts,Clothing,84,Connecticut,XXL,Charcoal,Fall,2.3,Yes,Standard,No,Yes,53,Venmo,Quarterly
97,42,Male,Handbag,Accessories,110,Massachusetts,S,Violet,Winter,4.5,No,Free Shipping,Yes,Yes,36,PayPal,Bi-Weekly
98,46,Male,Boots,Footwear,35,Texas,L,Pink,Spring,3.6,No,Express,No,Yes,38,Venmo,Weekly
99,58,Female,Boots,Footwear,31,Georgia,XL,Brown,Winter,3.9,Yes,Store Pickup,Yes,No,54,Venmo,Annually
100,54,Female,Handbag,Accessories,62,Rhode Island,S,Green,Summer,2.2,Yes,Standard,No,Yes,81,PayPal,Monthly
101,40,Male,Handbag,Accessories,103,Tennessee,S,Orange,Summer,2.4,No,Two Day Shipping,No,Yes,99,Debit Card,Quarterly
102,69,Male,Handbag,Outerwear,31,South Dakota,XL,Maroon,Summer,2.6,Yes,Express,No,No,65,PayPal,Annually
103,20,Male,Socks,Outerwear,88,South Carolina,S,Beige,Summer,2.8,No,Standard,No,No,49,Credit Card,Fortnightly
104,41,Female,Socks,Outerwear,36,North Dakota,XL,Turquoise,Fall,3.8,Yes,Two Day Shipping,No,No,13,Venmo,Monthly
105,46,Female,Socks,Accessories,57,Delaware,XL,Teal,Fall,2.1,No,Two Day Shipping,No,No,81,Venmo,Weekly
106,50,Male,Socks,Outerwear,22,Michigan,XXL,Cream,Fall,2.1,Yes,Free Shipping,No,No,49,Bank Transfer,Weekly
107,41,Female,Boots,Footwear,128,Vermont,S,Orange,Spring,3.6,No,Next Day Air,No,Yes,14,Venmo,Bi-Weekly
108,51,Female,Boots,Footwear,45,Indiana,L,Indigo,Fall,2.6,No,Store Pickup,No,Yes,15,Cash,Weekly
109,75,Female,Handbag,Outerwear,37,Montana,L,Cream,Summer,4.1,No,Next Day Air,Yes,Yes,46,Bank Transfer,Fortnightly
110,68,Male,Shirt,Clothing,75,Nevada,S,Teal,Summer,3.4,Yes,Two Day Shipping,Yes,Yes,39,PayPal,Bi-Weekly
111,67,Female,Socks,Outerwear,33,North Carolina,L,Beige,Winter,3.3,No,Free Shipping,Yes,Yes,55,Bank Transfer,Weekly
112,27,Female,Pants,Clothing,57,New Jersey,L,Indigo,Spring,3,No,Express,No,Yes,81,Bank Transfer,Monthly
113,57,Male,Shoes,Footwear,143,Maine,M,Orange,Spring,2.5,No,Two Day Shipping,Yes,Yes,10,Venmo,Bi-Weekly
114,67,Female,Handbag,Accessories,22,Nevada,XXL,Gold,Summer,3.4,No,Next Day Air,No,Yes,88,Venmo,Fortnightly
115,48,Female,Socks,Outerwear,67,Minnesota,XXL,Charcoal,Summer,4.6,No,Store Pickup,No,No,16,Credit Card,Annually
116,33,Female,Dress,Clothing,46,Maryland,XL,Purple,Spring,2.3,No,Standard,No,Yes,20,Credit Card,Annually
117,66,Male,Handbag,Accessories,142,Arkansas,XL,Blue,Summer,3.5,Yes,Standard,No,Yes,27,Bank Transfer,Monthly
118,36,Female,Blouse,Clothing,135,Missouri,XXL,Gray,Winter,3.3,No,Store Pickup,No,No,46,Venmo,Quarterly
119,53,Male,Tank Top,Clothing,107,New Mexico,L,Turquoise,Fall,3.5,No,Two Day Shipping,Yes,Yes,12,PayPal,Monthly
120,66,Male,Socks,Accessories,65,Idaho,XXL,Black,Winter,2.1,Yes,Store Pickup,No,No,66,PayPal,Fortnightly
121,57,Female,Shoes,Footwear,56,Kentucky,XXL,Gold,Summer,3.5,No,Store Pickup,No,No,2,Credit Card,Monthly
122,55,Female,Skirt,Clothing,21,Idaho,XL,Olive,Spring,4.2,No,Free Shipping,No,Yes,87,Cash,Weekly
123,19,Female,Shirt,Clothing,95,Oregon,M,Navy,Spring,3.2,No,Store Pickup,Yes,Yes,66,Cash,Annually
124,51,Female,Socks,Accessories,95,Virginia,XL,Yellow,Summer,3.6,No,Two Day Shipping,No,Yes,31,Credit Card,Annually
125,37,Female,Handbag,Accessories,68,Delaware,XL,Violet,Fall,3,No,Next Day Air,Yes,No,50,Credit Card,Fortnightly
126,36,Male,Handbag,Accessories,103,Connecticut,L,Blue,Spring,2.6,No,Two Day Shipping,No,Yes,13,Bank Transfer,Bi-Weekly
127,21,Male,Sneakers,Footwear,74,New York,S,Navy,Summer,4.2,Yes,Store Pickup,Yes,Yes,70,Cash,Quarterly
128,59,Male,Socks,Outerwear,88,Colorado,L,Beige,Winter,4.7,Yes,Store Pickup,Yes,Yes,22,PayPal,Fortnightly
129,68,Female,Skirt,Clothing,62,Alaska,L,Maroon,Winter,2.9,Yes,Next Day Air,No,No,82,Bank Transfer,Annually
130,72,Female,Handbag,Outerwear,84,Washington,S,Violet,Spring,4.2,No,Store Pickup,Yes,Yes,94,Credit Card,Monthly
131,57,Female,Sneakers,Footwear,124,Arkansas,L,Turquoise,Fall,4,Yes,Free Shipping,No,No,31,Venmo,Monthly
132,46,Female,Handbag,Outerwear,99,Wisconsin,XXL,Orange,Winter,2.8,No,Store Pickup,Yes,Yes,85,Venmo,Quarterly
133,43,Female,Handbag,Accessories,45,New Hampshire,L,Teal,Spring,2.7,Yes,Standard,Yes,No,95,Bank Transfer,Monthly
134,66,Male,Socks,Outerwear,78,Montana,XXL,Turquoise,Fall,3.6,No,Express,Yes,Yes,70,Bank Transfer,Fortnightly
135,38,Female,Sneakers,Footwear,44,Montana,M,Indigo,Fall,2.3,No,Express,No,Yes,65,PayPal,Quarterly
136,47,Female,Pants,Clothing,20,Kentucky,L,Gray,Spring,3.7,Yes,Standard,No,Yes,69,Venmo,Weekly
137,36,Female,Handbag,Outerwear,61,Wyoming,M,Beige,Fall,3.1,No,Standard,No,No,10,Debit Card,Bi-Weekly
138,25,Male,Shoes,Footwear,115,Kansas,M,Purple,Winter,4.3,No,Standard,No,No,29,Cash,Quarterly
139,35,Male,Handbag,Accessories,43,Florida,XL,Brown,Winter,2.7,Yes,Express,Yes,No,76,Debit Card,Bi-Weekly
140,65,Male,Shirt,Clothing,117,Connecticut,M,Yellow,Spring,4.3,Yes,Free Shipping,No,Yes,93,Bank Transfer,Monthly
141,37,Male,Handbag,Accessories,148,Massachusetts,XL,Gold,Summer,2.2,Yes,Store Pickup,No,No,6,Credit Card,Bi-Weekly
142,62,Female,Socks,Outerwear,119,Michigan,L,Black,Spring,4.3,No,Free Shipping,Yes,No,90,Cash,Quarterly
143,44,Female,Pants,Clothing,150,North Carolina,XL,Purple,Summer,2.6,Yes,Standard,No,Yes,68,Debit Card,Fortnightly
144,42,Male,Shorts,Clothing,33,Washington,XXL,Cream,Spring,3.4,No,Next Day Air,Yes,Yes,24,Debit Card,Weekly
145,62,Male,Handbag,Outerwear,116,Tennessee,XXL,Violet,Summer,3.1,No,Next Day Air,No,No,65,PayPal,Quarterly
146,64,Female,Cardigan,Clothing,96,Arizona,L,Violet,Fall,2.1,Yes,Store Pickup,Yes,Yes,33,Bank Transfer,Annually
147,27,Male,Socks,Outerwear,99,Massachusetts,XL,Orange,Spring,3.5,No,Next Day Air,No,No,58,Cash,Bi-Weekly
148,26,Female,Handbag,Accessories,62,Mississippi,S,Green,Winter,4.5,Yes,Store Pickup,Yes,Yes,52,Cash,Bi-Weekly
149,63,Male,Sandals,Footwear,17,Arizona,XXL,Red,Summer,2.2,No,Store Pickup,No,Yes,0,Bank Transfer,Annually
150,19,Female,Handbag,Outerwear,88,Texas,XXL,Indigo,Fall,4.4,Yes,Express,Yes,Yes,30,Cash,Annually
151,35,Female,Socks,Accessories,35,Alabama,XL,Red,Spring,5,Yes,Next Day Air,Yes,Yes,11,PayPal,Quarterly
152,21,Male,Socks,Outerwear,58,Illinois,XL,Navy,Summer,3.7,Yes,Two Day Shipping,Yes,Yes,27,Debit Card,Annually
153,20,Male,Socks,Outerwear,86,Mississippi,XXL,Cream,Winter,2.5,No,Express,Yes,Yes,96,Debit Card,Quarterly
154,28,Male,Shorts,Clothing,114,Montana,XXL,Violet,Fall,4.3,Yes,Store Pickup,Yes,No,6,Venmo,Quarterly
155,39,Female,Sandals,Footwear,98,Texas,L,Red,Fall,2.7,No,Standard,Yes,No,10,Bank Transfer,Monthly
156,23,Female,Sandals,Footwear,54,Louisiana,M,Black,Summer,3.1,Yes,Express,No,No,46,Credit Card,Weekly
157,29,Female,Sandals,Footwear,129,New Mexico,XXL,Green,Fall,2.3,Yes,Next Day Air,Yes,No,49,Venmo,Monthly
158,67,Male,Socks,Outerwear,77,Nebraska,XXL,Silver,Fall,2.5,No,Next Day Air,No,No,18,Venmo,Fortnightly
159,44,Female,Socks,Outerwear,138,Pennsylvania,L,Olive,Spring,4.2,No,Two Day Shipping,Yes,No,13,Cash,Monthly
160,39,Female,Skirt,Clothing,99,Connecticut,L,Navy,Spring,2.9,Yes,Standard,No,Yes,50,Credit Card,Monthly
161,38,Female,Handbag,Outerwear,86,Kentucky,L,White,Spring,3.8,Yes,Store Pickup,Yes,No,90,Cash,Quarterly
162,70,Female,Handbag,Accessories,142,North Carolina,L,Purple,Summer,4,No,Standard,Yes,No,76,PayPal,Annually
163,52,Male,Socks,Outerwear,107,Delaware,XXL,Brown,Winter,2.3,Yes,Store Pickup,No,Yes,82,Bank Transfer,Weekly
164,68,Female,Socks,Outerwear,42,California,S,Olive,Spring,3.5,Yes,Standard,No,No,59,Debit Card,Annually
165,19,Female,Shoes,Footwear,41,Missouri,XL,Turquoise,Winter,4.5,Yes,Next Day Air,No,No,58,Cash,Annually
166,48,Male,Socks,Outerwear,127,North Dakota,XL,Violet,Winter,2.9,Yes,Express,No,Yes,86,Cash,Bi-Weekly
167,53,Male,Sneakers,Footwear,99,New Mexico,XL,Red,Spring,4.4,Yes,Free Shipping,No,No,3,Debit Card,Annually
168,55,Female,Boots,Footwear,114,California,M,Pink,Summer,4.3,Yes,Two Day Shipping,Yes,Yes,46,Credit Card,Fortnightly
169,34,Female,Handbag,Outerwear,150,New Hampshire,L,Brown,Fall,3.8,Yes,Next Day Air,No,No,79,Cash,Bi-Weekly
170,61,Male,Handbag,Accessories,95,Georgia,M,Gold,Winter,2.5,Yes,Two Day Shipping,No,No,76,Cash,Annually
171,29,Female,Socks,Outerwear,59,New Mexico,M,Blue,Summer,2.4,No,Standard,Yes,No,1,PayPal,Fortnightly
172,53,Female,Boots,Footwear,119,Montana,XL,Navy,Fall,3.5,Yes,Two Day Shipping,Yes,Yes,37,Venmo,Monthly
173,28,Female,Shoes,Footwear,141,New Mexico,XXL,White,Winter,2.8,No,Two Day Shipping,Yes,No,69,Cash,Quarterly
174,71,Male,T-Shirt,Clothing,91,Florida,XL,Olive,Summer,4.6,Yes,Standard,Yes,Yes,26,Debit Card,Annually
175,28,Male,Socks,Accessories,67,Arizona,S,Orange,Summer,3.6,Yes,Next Day Air,No,No,73,Credit Card,Annually
176,66,Female,Jeans,Clothing,30,Maryland,M,Indigo,Spring,2.7,No,Free Shipping,No,No,18,Bank Transfer,Bi-Weekly
177,42,Female,Socks,Accessories,34,New Hampshire,S,Black,Summer,4.1,No,Standard,No,No,74,Venmo,Bi-Weekly
178,47,Female,T-Shirt,Clothing,31,Mississippi,XL,Pink,Fall,4.5,No,Next Day Air,No,No,43,Bank Transfer,Annually
179,68,Female,Boots,Footwear,27,Florida,S,Beige,Fall,2,Yes,Standard,No,Yes,54,Cash,Bi-Weekly
180,28,Female,Shoes,Footwear,38,Maine,L,Olive,Winter,3.1,Yes,Express,No,No,92,Debit Card,Fortnightly
181,63,Male,Handbag,Outerwear,15,Arizona,XL,Turquoise,Spring,3.8,No,Express,Yes,No,15,PayPal,Bi-Weekly
182,22,Male,Boots,Footwear,113,Illinois,S,White,Summer,3.1,No,Free Shipping,No,Yes,82,Debit Card,Fortnightly
183,54,Male,Pants,Clothing,57,Connecticut,L,Pink,Spring,4.8,No,Free Shipping,Yes,Yes,17,Venmo,Annually
184,45,Female,Socks,Outerwear,50,Tennessee,L,Beige,Winter,2.7,No,Store Pickup,Yes,No,26,Bank Transfer,Annually
185,36,Male,Boots,Footwear,76,Nevada,XL,White,Spring,3.5,Yes,Two Day Shipping,Yes,No,40,Cash,Quarterly
186,52,Male,Socks,Outerwear,135,Wyoming,S,Gray,Winter,2,Yes,Express,Yes,No,64,Credit Card,Bi-Weekly
187,62,Female,Socks,Outerwear,36,New Hampshire,XXL,Yellow,Spring,2.8,No,Express,Yes,Yes,68,Credit Card,Quarterly
188,62,Female,Shorts,Clothing,76,New York,M,Turquoise,Fall,2.3,Yes,Next Day Air,Yes,Yes,1,Debit Card,Fortnightly
189,49,Female,Jeans,Clothing,148,Kansas,L,Silver,Summer,2.4,No,Store Pickup,Yes,Yes,42,PayPal,Monthly
190,63,Male,Shorts,Clothing,142,Utah,XXL,Teal,Winter,3.5,Yes,Next Day Air,Yes,No,98,Venmo,Annually
191,65,Male,Shirt,Clothing,26,California,M,Maroon,Fall,3.1,Yes,Free Shipping,Yes,No,28,Credit Card,Fortnightly
192,35,Male,Socks,Outerwear,110,Georgia,XXL,Cream,Winter,2.5,Yes,Standard,Yes,No,36,Credit Card,Monthly
193,47,Male,Pants,Clothing,109,Washington,L,Orange,Summer,4.2,Yes,Standard,No,No,98,Cash,Bi-Weekly
194,18,Female,Sneakers,Footwear,21,Massachusetts,XXL,Teal,Winter,4.9,Yes,Store Pickup,No,No,13,Cash,Annually
195,49,Male,Boots,Footwear,51,South Dakota,L,Turquoise,Winter,4.8,No,Store Pickup,No,No,95,Venmo,Annually
196,26,Female,Pants,Clothing,34,West Virginia,XXL,Maroon,Fall,4,Yes,Free Shipping,No,No,40,PayPal,Bi-Weekly
197,46,Female,Socks,Accessories,74,Pennsylvania,M,Charcoal,Winter,2.5,Yes,Standard,No,No,52,Venmo,Annually
198,46,Female,Handbag,Accessories,133,Indiana,S,Turquoise,Spring,4.4,No,Store Pickup,Yes,Yes,41,Cash,Weekly
199,43,Male,Shoes,Footwear,91,Indiana,M,Gray,Fall,4.6,Yes,Express,No,Yes,17,Venmo,Weekly
200,32,Male,Cardigan,Clothing,65,Kentucky,L,Cream,Winter,3.7,No,Express,Yes,Yes,25,Debit Card,Quarterly
201,75,Female,Sandals,Footwear,46,Florida,XL,Maroon,Spring,4.8,No,Store Pickup,No,No,3,PayPal,Bi-Weekly
202,40,Male,Handbag,Outerwear,62,Maryland,L,Red,Spring,2.1,Yes,Store Pickup,No,No,52,Bank Transfer,Quarterly
203,35,Female,Sweater,Clothing,50,Oregon,M,Beige,Spring,3.9,Yes,Standard,No,No,69,PayPal,Monthly
204,35,Male,Socks,Accessories,21,Colorado,XXL,Purple,Winter,4.7,No,Express,No,No,98,Bank Transfer,Fortnightly
205,33,Male,Sandals,Footwear,83,Mississippi,S,Purple,Fall,3.1,Yes,Free Shipping,Yes,No,94,Debit Card,Monthly
